procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  53820  15452 283756    0    0     0     0  254  145  1  0 99  0  0
 0  0      0  53820  15452 283756    0    0     0     0  252  144  0  0 100  0  0
 0  0      0  53820  15452 283756    0    0     0     0  258  143  1  1 98  0  0
 0  0      0  53820  15452 283756    0    0     0     0  251  139  1  0 99  0  0
 0  0      0  53820  15452 283756    0    0     0     0  254  145  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  53820  15452 283756    0    0     0     0  258  142  6  0 94  0  0
 0  0      0  53820  15452 283756    0    0     0     0  255  147  2  0 98  0  0
 1  0      0  53820  15452 283756    0    0     0     0  255  144  1  0 99  0  0
 0  0      0  53820  15452 283756    0    0     0     0  290  300 62  1 37  0  0
 0  0      0  53820  15452 283756    0    0     0     0  251  134  0  0 100  0  0
 0  0      0  53820  15452 283756    0    0     0     0  252  147  1  0 99  0  0
 0  0      0  53820  15452 283756    0    0     0     0  250  142  1  0 99  0  0
 0  0      0  53820  15452 283756    0    0     0     0  255  146  0  1 99  0  0
 0  0      0  53820  15452 283756    0    0     0     0  253  141  1  0 99  0  0
 0  0      0  53820  15452 283756    0    0     0     0  254  145  1  0 99  0  0
 0  0      0  53820  15452 283756    0    0     0     0  254  145  9  0 91  0  0
 0  0      0  53820  15452 283756    0    0     0     0  255  143  1  0 99  0  0
 0  0      0  53820  15452 283756    0    0     0     0  252  150  1  0 99  0  0
 9  0      0  53820  15452 283756    0    0     0     0  272  216 31  1 68  0  0
 0  0      0  53820  15452 283756    0    0     0     0  267  219 35  0 65  0  0
 0  0      0  53820  15452 283756    0    0     0     0  252  133  1  0 99  0  0
 0  0      0  53820  15452 283756    0    0     0     0  254  144  1  1 98  0  0
 0  0      0  53820  15452 283756    0    0     0     0  252  146  0  0 100  0  0
 1  0      0  53820  15452 283756    0    0     0     0  256  145  2  0 98  0  0
 0  0      0  53820  15452 283756    0    0     0     0  252  139  0  0 100  0  0
 0  0      0  53820  15452 283756    0    0     0     0  260  147  9  0 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  53820  15452 283756    0    0     0     0  252  140  0  0 100  0  0
 0  0      0  53820  15452 283756    0    0     0     0  255  145  1  0 99  0  0
 0  0      0  53820  15452 283756    0    0     0     0  253  140  0  1 99  0  0
 0  0      0  53820  15452 283756    0    0     0     0  290  285 64  0 36  0  0
 0  0      0  53820  15452 283756    0    0     0     0  254  140  1  0 99  0  0
 0  0      0  53820  15452 283756    0    0     0     0  256  147  1  0 99  0  0
 0  0      0  53820  15452 283756    0    0     0     0  254  139  1  1 98  0  0
 0  0      0  53820  15452 283756    0    0     0     0  256  145  1  0 99  0  0
 0  0      0  53820  15452 283756    0    0     0     0  253  151  0  0 100  0  0
 0  0      0  53820  15452 283756    0    0     0     0  260  148  6  0 94  0  0
 0  0      0  53820  15452 283756    0    0     0     0  254  156  0  0 100  0  0
